Source,Package name,Package ID,ISBN,Book Title,Year,ISSN,Series Title,Volume,Imprint,Editor(s)/Author(s),Available Online,Shortcut URL
HS,eBook - Health Professions 2011,EBCHP11,9780443101267,Integrated Sports Massage Therapy,2011,,,,Churchill Livingstone,,22-Jun-2011,http://www.sciencedirect.com/science/book/9780443101267
HS,eBook - Health Professions 2011,EBCHP11,9780702035289,Neck and Arm Pain Syndromes,2011,,,,Churchill Livingstone,,22-Jun-2011,http://www.sciencedirect.com/science/book/9780702035289
HS,eBook - Health Professions 2011,EBCHP11,9780723436539,State-of-the-Art Orthodontics,2011,,,,Mosby,Hugo Trevisi,22-Jun-2011,http://www.sciencedirect.com/science/book/9780723436539
HS,eBook - Veterinary Medicine 2011,EBCVM11,9780723436027,Color Atlas of Diseases and Disorders of Cattle (Third Edition),2011,,,,Mosby,,22-Jun-2011,http://www.sciencedirect.com/science/book/9780723436027
HS,eBook - Veterinary Medicine 2011,EBCVM11,9781437706543,"Fluid, Electrolyte, and Acid-Base Disorders in Small Animal Practice (Fourth Edition)",2012,,,,W.B. Saunders,,22-Jun-2011,http://www.sciencedirect.com/science/book/9781437706543
HS,eBook - Veterinary Medicine 2011,EBCVM11,9781437719864,Fowler's Zoo and Wild Animal Medicine,2012,,,,W.B. Saunders,,22-Jun-2011,http://www.sciencedirect.com/science/book/9781437719864
S&T,eBook - Agricultural and Biological Sciences 2011,EBCABS11,9780123813510,Insect Ecology (Third Edition),2011,,,,Academic Press,Timothy D. Schowalter,22-Apr-2011,http://www.sciencedirect.com/science/book/9780123813510
S&T,"eBook - Biochemistry, Genetics and Molecular Biology 2011",EBCBGMB11,9780123849359,Peptide and Protein Delivery,2011,,,,Academic Press,Chris Van Der Walle,22-Apr-2011,http://www.sciencedirect.com/science/book/9780123849359
S&T,eBook - Engineering 2011,EBCE11,9780080966786,Semi-Active Suspension Control Design for Vehicles,2011,,,,Butterworth-Heinemann,"Sergio M. Savaresi, Charles Poussot-Vassal, Cristiano Spelta, Olivier Sename and Luc Dugard",22-Apr-2011,http://www.sciencedirect.com/science/book/9780080966786
S&T,eBook - Finance 2011,EBCF11,9780123749482,Mergers and Acquisitions Basics: All You Need To Know,2011,,,,Academic Press,Donald DePamphilis,22-Apr-2011,http://www.sciencedirect.com/science/book/9780123749482
S&T,eBook - Finance 2011,EBCF11,9780123749499,Mergers and Acquisitions Basics: Negotiation and Deal Structuring,2011,,,,Academic Press,Donald DePamphilis,22-Apr-2011,http://www.sciencedirect.com/science/book/9780123749499
S&T,eBook - Neuroscience 2011,EBCN11,9780123814098,Essential Neuromodulation,2011,,,,Academic Press,Jeffrey E. Arle and Jay L. Shils,22-Apr-2011,http://www.sciencedirect.com/science/book/9780123814098
S&T,eBook - Chemistry 2011,EBCC11,9780080966854,-- Book Title not available --,2011,0959-6380,Progress in Heterocyclic Chemistry,22C,Elsevier,"Gordon Gribble, John A. Joule",21-Sep-2010,http://www.sciencedirect.com/science/book/9780080966854
S&T,eBook - Chemical Engineering 2011,EBCCE11,9780444535634,Fuel Cells,2011,,,,Elsevier,"Dushyant Shekhawat, J.J. Spivey And David A. Berry",21-Mar-2011,http://www.sciencedirect.com/science/book/9780444535634
S&T,eBook - Earth and Planetary Sciences 2011,EBCEPS11,9780444536075,Developments in Palygorskite-Sepiolite Research,2011,1572-4352,Developments in Clay Science,3C,Elsevier,"Emilio Galan, Arieh Singer",21-Jul-2011,http://www.sciencedirect.com/science/book/9780444536075
S&T,"eBook - Biochemistry, Genetics and Molecular Biology 2011",EBCBGMB11,9788131222973,Protein Bioinformatics,2010,,,,Academic Press,M. Michael Gromiha,20-May-2011,http://www.sciencedirect.com/science/book/9788131222973
S&T,eBook - Energy 2011,EBCEN11,9780123838445,Petroleum Engineer's Guide to Oil Field Chemicals and Fluids,2011,,,,Gulf Professional Publishing,Johannes Fink,20-May-2011,http://www.sciencedirect.com/science/book/9780123838445
S&T,eBook - Environmental Science 2011,EBCES11,9780444516732,Philosophy of Ecology,2011,,Handbook of the Philosophy of Science,11,North-Holland,"Dov M. Gabbay, Bryson Brown, Paul Thagard, Kevin De Laplante, Kent Peacock And John Woods",20-May-2011,http://www.sciencedirect.com/science/book/9780444516732
S&T,eBook - Medicine and Dentistry 2011,EBCMD11,9780123819789,Vitamin D (Third Edition),2011,,,,Academic Press,"David Feldman, J. Wesley Pike and John S. Adams",20-May-2011,http://www.sciencedirect.com/science/book/9780123819789
S&T,"eBook - Pharmacology, Toxicology and Pharmaceutical Science 2011",EBCPTPS11,9780444538642,-- Book Title not available --,2011,1872-0854,Advances in Molecular Toxicology,5C,Elsevier,James C. Fishbein,20-Jun-2011,http://www.sciencedirect.com/science/book/9780444538642
S&T,eBook - Engineering 2011,EBCE11,9780123838421,Gas Turbine Engineering Handbook (Fourth Edition),2011,,,,Butterworth-Heinemann,Meherwan P. Boyce,20-Dec-2011,http://www.sciencedirect.com/science/book/9780123838421
S&T,eBook - Neuroscience 2011,EBCN11,9780123865250,Primer on the Autonomic Nervous System (Third Edition),2012,,,,Academic Press,"David Robertson, Italo Biaggioni, Geoffrey Burnstock, Phillip A. Low and Julian F.R. Paton",20-Dec-2011,http://www.sciencedirect.com/science/book/9780123865250
S&T,eBook - Earth and Planetary Sciences 2011,EBCEPS11,9780444563750,Introduction to Volcanic Seismology (Second Edition),2012,,,,Elsevier,Vyacheslav M. Zobin,20-Dec-2011,http://www.sciencedirect.com/science/book/9780444563750
S&T,eBook - Engineering 2011,EBCE11,9780123819604,Measurement and Instrumentation,2012,,,,Butterworth-Heinemann,Alan S. Morris and Reza Langari,20-Dec-2011,http://www.sciencedirect.com/science/book/9780123819604
S&T,eBook - Neuroscience 2011,EBCN11,9780444529039,Neuro-ophthalmology,2011,0072-9752,Handbook of Clinical Neurology,102C,Elsevier,"Christopher Kennard, R. John Leigh",19-May-2011,http://www.sciencedirect.com/science/book/9780444529039
HS,eBook - Clinical Medicine 2011,EBCCM11,9780702035746,Weedon's Skin Pathology Essentials,2012,,,,Churchill Livingstone,,19-Dec-2011,http://www.sciencedirect.com/science/book/9780702035746
S&T,eBook - Agricultural and Biological Sciences 2011,EBCABS11,9780123849052,Marschner's Mineral Nutrition of Higher Plants (Third Edition),2012,,,,Academic Press,Petra Marschner,19-Aug-2011,http://www.sciencedirect.com/science/book/9780123849052
S&T,eBook - Chemical Engineering 2011,EBCCE11,9780444535580,Biointerface Characterization by Advanced IR Spectroscopy,2011,,,,Elsevier,C.-M. Pradier And Y.J. Chabal,19-Aug-2011,http://www.sciencedirect.com/science/book/9780444535580
S&T,eBook - Computer Science 2011,EBCCS11,9781597496049,Web Application Obfuscation,2010,,,,Syngress,"Mario Heiderich, Eduardo Alberto Vela Nava, Gareth  Heyes And David Lindsay",19-Aug-2011,http://www.sciencedirect.com/science/book/9781597496049
S&T,eBook - Earth and Planetary Sciences 2011,EBCEPS11,9780444528643,Earth's Magnetosphere,2011,,,,Elsevier,W.J. Heikkila,19-Aug-2011,http://www.sciencedirect.com/science/book/9780444528643
S&T,eBook - Environmental Science 2011,EBCES11,9780444535672,Fundamentals of Ecological Modelling,2011,0167-8892,Developments in Environmental Modelling,23C,Elsevier,"Sven Erik Jorgensen, Brian D. Fath",19-Aug-2011,http://www.sciencedirect.com/science/book/9780444535672
S&T,eBook - Physics and Astronomy 2011,EBCPA11,9780444534255,Superconductivity in New Materials,2011,1572-0934,Contemporary Concepts of Condensed Matter Science,4C,Elsevier,"Z. Fisk, H.R. Ott",18-Sep-2010,http://www.sciencedirect.com/science/book/9780444534255
S&T,eBook - Energy 2011,EBCEN11,9780123877093,Hydrogen and Fuel Cells (Second Edition),2012,,Sustainable World,,Academic Press,Bent Sorensen,18-Nov-2011,http://www.sciencedirect.com/science/book/9780123877093
S&T,eBook - Earth and Planetary Sciences 2011,EBCEPS11,9780120887590,Introduction to Geophysical Fluid Dynamics,2011,0074-6142,International Geophysics,101C,Academic Press,"Benoit Cushman-Roisin, Jean-Marie Beckers",18-Nov-2011,http://www.sciencedirect.com/science/book/9780120887590
S&T,eBook - Forensics 2011,EBCFOR11,9780123745132,Advanced Topics in Forensic DNA Typing,2012,,,,Academic Press,John M. Butler,18-Nov-2011,http://www.sciencedirect.com/science/book/9780123745132
S&T,eBook - Energy 2011,EBCEN11,9780123813756,Introduction to Optimum Design (Third Edition),2012,,,,Academic Press,Jasbir Arora,18-Nov-2011,http://www.sciencedirect.com/science/book/9780123813756
S&T,eBook - Agricultural and Biological Sciences 2011,EBCABS11,9780123814708,Novel Thermal and Non-Thermal Technologies for Fluid Foods,2012,,,,Academic Press,"P.J. Cullen, Brijesh K. Tiwari and Vasilis Valdramidis",18-Nov-2011,http://www.sciencedirect.com/science/book/9780123814708
S&T,eBook - Engineering 2011,EBCE11,9780123821768,Concrete Portable Handbook,2011,,,,Butterworth-Heinemann,R. Dodge Woodson,18-Nov-2011,http://www.sciencedirect.com/science/book/9780123821768
S&T,eBook - Engineering 2011,EBCE11,9780123876836,Up and Running with AutoCAD 2012: 2D version,2012,,,,Academic Press,Elliot Gindis,18-Nov-2011,http://www.sciencedirect.com/science/book/9780123876836
S&T,eBook - Computer Science 2011,EBCCS11,9780123877666,Heterogeneous Computing with OpenCL,2011,,,,Morgan Kaufmann,Perhaad Mistry and Dana Schaa,18-Nov-2011,http://www.sciencedirect.com/science/book/9780123877666
S&T,eBook - Engineering 2011,EBCE11,9780123813831,Biofluid Mechanics,2012,,Biomedical Engineering,,Academic Press,"David Rubenstein, Wei Yin and Mary D. Frame",18-Nov-2011,http://www.sciencedirect.com/science/book/9780123813831
S&T,eBook - Computer Science 2011,EBCCS11,9780123884268,CUDA Application Design and Development,2012,,,,Morgan Kaufmann,Rob Farber,18-Nov-2011,http://www.sciencedirect.com/science/book/9780123884268
S&T,eBook - Chemical Engineering 2011,EBCCE11,9781437735208,Micromixers (Second Edition),2012,,,,William Andrew Publishing,Nam-Trung Nguyen,18-Nov-2011,http://www.sciencedirect.com/science/book/9781437735208
S&T,eBook - Energy 2011,EBCEN11,9781856179829,Gas Sweetening and Processing Field Manual,2011,,,,Gulf Professional Publishing,Maurice Stewart and Ken Arnold,18-Nov-2011,http://www.sciencedirect.com/science/book/9781856179829
S&T,eBook - Chemistry 2011,EBCC11,9780123869845,Infrared and Raman Spectroscopy,2011,,,,Elsevier,Peter Larkin,18-May-2011,http://www.sciencedirect.com/science/book/9780123869845
S&T,eBook - Engineering 2011,EBCE11,9780123852021,Logistics Operations and Management,2011,,,,Elsevier,"Reza Farahani, Shabnam Rezapour and Laleh Kardar",18-May-2011,http://www.sciencedirect.com/science/book/9780123852021
S&T,eBook - Forensics 2011,EBCFOR11,9780123822413,Shooting Incident Reconstruction (Second Edition),2011,,,,Academic Press,Michael G. Haag and Lucien C. Haag,18-May-2011,http://www.sciencedirect.com/science/book/9780123822413
S&T,"eBook - Pharmacology, Toxicology and Pharmaceutical Science 2011",EBCPTPS11,9780123815378,Global Clinical Trials,2011,,,,Academic Press,Richard Chin and Menghis Bairu,18-May-2011,http://www.sciencedirect.com/science/book/9780123815378
S&T,eBook - Engineering 2011,EBCE11,9780123854773,The Definitive Guide to the ARM Cortex-M0,2011,,,,Newnes,Joseph Yiu,18-May-2011,http://www.sciencedirect.com/science/book/9780123854773
S&T,eBook - Agricultural and Biological Sciences 2011,EBCABS11,9780123750211,Molecular Wine Microbiology,2011,,,,Academic Press,"Alfonso V. Carrascosa Santiago, Rosario Munoz and Ramon Gonzalez Garcia",18-Mar-2011,http://www.sciencedirect.com/science/book/9780123750211
S&T,eBook - Chemical Engineering 2011,EBCCE11,9780444532244,Industrial Biofouling,2010,,,,Elsevier,T. Reg Bott,18-Mar-2011,http://www.sciencedirect.com/science/book/9780444532244
S&T,eBook - Chemical Engineering 2011,EBCCE11,9781437778427,Risks of Hazardous Wastes,2011,,,,William Andrew Publishing,Paul E. Rosenfeld And Lydia Feng,18-Mar-2011,http://www.sciencedirect.com/science/book/9781437778427
S&T,eBook - Computer Science 2011,EBCCS11,9780123851260,Data Architecture,2011,,,,Morgan Kaufmann,Charles  Tupper,18-Mar-2011,http://www.sciencedirect.com/science/book/9780123851260
S&T,eBook - Engineering 2011,EBCE11,9780123851222,Stability of Structures,2011,,,,Butterworth-Heinemann,Chai H. Yoo and Sung Lee,18-Mar-2011,http://www.sciencedirect.com/science/book/9780123851222
S&T,eBook - Engineering 2011,EBCE11,9780123744838,Wireless Communications Over Rapidly Time-Varying Channels,2011,,,,Academic Press,Franz Hlawatsch and Gerald Matz,18-Mar-2011,http://www.sciencedirect.com/science/book/9780123744838
